time_s,decimated_V,nn_kalman_V,fixed_kalman_V
0.12880000,2.33398438,2.32722524,2.33397852
0.12920000,2.33398438,2.33015231,2.33398437
0.12960000,2.34863281,2.33702217,2.34862403
0.13000000,2.35351562,2.34240876,2.35351269
0.13040000,2.35351562,2.34560925,2.35351562
0.13080000,2.37304688,2.35262110,2.37303517
0.13120000,2.36328125,2.35531215,2.36328710
0.13160000,2.31933594,2.34630495,2.31936228
0.13200000,2.27539062,2.32597509,2.27541698
0.13240000,2.33886719,2.33022188,2.33882916
0.13280000,2.46093750,2.42279697,2.46086431
0.13320000,2.58789062,2.53001789,2.58781449
0.13360000,2.71484375,2.63608949,2.71476761
0.13400000,2.84179688,2.83517988,2.84172074
0.13440000,2.96875000,2.96080660,2.96867386
0.13480000,3.09082031,3.08986690,3.09074710
0.13520000,3.21777344,3.21637388,3.21769730
0.13560000,3.34472656,3.34221609,3.34465043
0.13600000,3.47167969,3.46731859,3.47160355
0.13640000,3.59375000,3.58742917,3.59367679
0.13680000,3.72558594,3.71792850,3.72550688
0.13720000,3.49609375,3.50594735,3.49623125
0.13760000,2.72460938,2.73037848,2.72507186
0.13800000,2.25585938,2.25737646,2.25614061
0.13840000,2.25585938,2.25586836,2.25585954
0.13880000,2.25585938,2.25585944,2.25585938
0.13920000,2.25585938,2.25585938,2.25585938
0.13960000,2.23632812,2.23640941,2.23633983
0.14000000,2.23632812,2.23632875,2.23632813
0.14040000,2.23632812,2.23632813,2.23632813
0.14080000,2.23632812,2.23632813,2.23632813
0.14120000,2.23632812,2.23632813,2.23632812
0.14160000,2.23632812,2.23632813,2.23632812
0.14200000,2.23632812,2.23632812,2.23632812
0.14240000,2.23632812,2.23632812,2.23632812
0.14280000,2.21679688,2.21768961,2.21680858
0.14320000,2.21679688,2.21687183,2.21679688
0.14360000,2.21679688,2.21680774,2.21679688
0.14400000,2.21679688,2.21679937,2.21679688
0.14440000,2.21679688,2.21679770,2.21679688
0.14480000,2.21679688,2.21679723,2.21679688
0.14520000,2.21679688,2.21679707,2.21679688
0.14560000,2.21191406,2.21489987,2.21191699
0.14600000,2.19726562,2.20911027,2.19727441
0.14640000,2.19726562,2.20582618,2.19726563
0.14680000,2.19726562,2.20379521,2.19726563
0.14720000,2.19726562,2.20244676,2.19726563
0.14760000,2.19726562,2.20149894,2.19726562
0.14800000,2.19726562,2.20080181,2.19726562
0.14840000,2.19726562,2.20026912,2.19726562
0.14880000,2.19238281,2.19916799,2.19238574
0.14920000,2.17773438,2.19623103,2.17774316
0.14960000,2.17773438,2.19376701,2.17773438
0.15000000,2.17773438,2.19170157,2.17773438
0.15040000,2.17773438,2.18996150,2.17773438
0.15080000,2.17773438,2.18848302,2.17773438
0.15120000,2.17773438,2.18721214,2.17773438
0.15160000,2.17773438,2.18610577,2.17773438
0.15200000,2.16796875,2.18400285,2.16797460
0.15240000,2.15820312,2.18082477,2.15820898
0.15280000,2.15820312,2.17795002,2.15820313
0.15320000,2.15820312,2.17541324,2.15820313
0.15360000,2.15820312,2.17320374,2.15820313
0.15400000,2.15820312,2.17129057,2.15820312
0.15440000,2.15820312,2.16963042,2.15820312
0.15480000,2.15820312,2.16817937,2.15820312
0.15520000,2.14843750,2.16548437,2.14844335
0.15560000,2.13867188,2.15927899,2.13867773
0.15600000,2.13867188,2.15405274,2.13867188
0.15640000,2.13867188,2.15031156,2.13867188
0.15680000,2.13867188,2.14771226,2.13867188
0.15720000,2.13867188,2.14587779,2.13867188
0.15760000,2.13867188,2.14454267,2.13867188
0.15800000,2.13867188,2.14353991,2.13867188
0.15840000,2.12402344,2.14036524,2.12403222
0.15880000,2.11914062,2.13658560,2.11914356
0.15920000,2.11914062,2.13348618,2.11914063
0.15960000,2.11914062,2.13104276,2.11914063
0.16000000,2.11914062,2.12912708,2.11914063
0.16040000,2.11914062,2.12761250,2.11914062
0.16080000,2.11914062,2.12639549,2.11914062
0.16120000,2.11914062,2.12540104,2.11914062
0.16160000,2.10449219,2.12255753,2.10450097
0.16200000,2.09960938,2.11941235,2.09961231
0.16240000,2.09960938,2.11671455,2.09960938
0.16280000,2.09960938,2.11442011,2.09960938
0.16320000,2.09960938,2.11247264,2.09960938
0.16360000,2.09960938,2.11081738,2.09960938
0.16400000,2.09960938,2.10940146,2.09960938
0.16440000,2.09960938,2.10818251,2.09960938
0.16480000,2.08007812,2.10443371,2.08008983
0.16520000,2.08007812,2.10076232,2.08007813
0.16560000,2.08007812,2.09752834,2.08007813
0.16600000,2.08007812,2.09481830,2.08007813
0.16640000,2.08007812,2.09258761,2.08007812
0.16680000,2.08007812,2.09075338,2.08007812
0.16720000,2.08007812,2.08922879,2.08007812
0.16760000,2.08007812,2.08795347,2.08007812
0.16800000,2.06054688,2.07958816,2.06055858
0.16840000,2.06054688,2.07334212,2.06054688
0.16880000,2.06054688,2.06948137,2.06054688
0.16920000,2.06054688,2.06710035,2.06054688
0.16960000,2.06054688,2.06556530,2.06054688
0.17000000,2.06054688,2.06452451,2.06054688
0.17040000,2.06054688,2.06378432,2.06054688
0.17080000,2.05566406,2.06240939,2.05566699
0.17120000,2.04101562,2.05866566,2.04102441
0.17160000,2.04101562,2.05564351,2.04101563
0.17200000,2.04101562,2.05325850,2.04101563
0.17240000,2.04101562,2.05137802,2.04101563
0.17280000,2.04101562,2.04987946,2.04101562
0.17320000,2.04101562,2.04866469,2.04101562
0.17360000,2.04101562,2.04766159,2.04101562
0.17400000,2.03613281,2.04619990,2.03613574
0.17440000,2.02148438,2.04299918,2.02149316
0.17480000,2.02148438,2.04019803,2.02148438
0.17520000,2.02148438,2.03777608,2.02148438
0.17560000,2.04589844,2.03881419,2.04588380
0.17600000,2.32421875,2.07462775,2.32405192
0.17640000,3.08105469,2.36553940,3.08060096
0.17680000,1.57226562,1.58051689,1.57316967
0.17720000,2.27539062,2.26331230,2.27496974
0.17760000,2.12402344,2.12449134,2.12411391
0.17800000,1.87500000,1.87656006,1.87514931
0.17840000,2.55371094,2.55139294,2.55330423
0.17880000,2.43164062,2.43241834,2.43171355
0.17920000,2.34375000,2.34399836,2.34380272
0.17960000,2.31445312,2.31452922,2.31447072
0.18000000,2.35351562,2.35341219,2.35349222
0.18040000,2.86132812,2.85990167,2.86102374
0.18080000,2.77832031,2.77872240,2.77836988
0.18120000,2.28515625,2.28916191,2.28545187
0.18160000,2.34375000,2.34357286,2.34371506
0.18200000,3.14941406,3.14693621,3.14893115
0.18240000,2.57812500,2.57987692,2.57846712
0.18280000,2.47558594,2.47622260,2.47564760
0.18320000,2.55371094,2.55345076,2.55366415
0.18360000,2.21191406,2.21279375,2.21211890
0.18400000,3.29101562,3.28826015,3.29036897
0.18440000,2.87597656,2.87792663,2.87622494
0.18480000,2.44140625,2.44254996,2.44166687
0.18520000,2.43164062,2.43166787,2.43164663
0.18560000,2.91015625,2.90888813,2.90986945
0.18600000,2.44140625,2.44272746,2.44168703
0.18640000,2.60253906,2.60212594,2.60244265
0.18680000,2.59765625,2.59766744,2.59765912
0.18720000,2.93457031,2.93363054,2.93436838
0.18760000,3.22265625,3.22161936,3.22248346
0.18800000,2.23144531,2.23591303,2.23203931
0.18840000,3.36425781,3.35957773,3.36357920
0.18880000,2.24121094,2.24522947,2.24188365
0.18920000,3.41308594,3.40939467,3.41238395
0.18960000,2.57812500,2.58062640,2.57862503
0.19000000,2.47070312,2.47129802,2.47076781
0.19040000,2.44628906,2.44635737,2.44630373
0.19080000,2.68066406,2.67944997,2.68052359
0.19120000,2.29003906,2.29254916,2.29027311
0.19160000,2.76855469,2.76727229,2.76826802
0.19200000,2.54394531,2.54450862,2.54407976
0.19240000,2.45117188,2.45144430,2.45122756
0.19280000,2.67089844,2.67026666,2.67076677
0.19320000,2.43652344,2.43720274,2.43666384
0.19360000,2.43652344,2.43652720,2.43652352
0.19400000,2.84179688,2.83999448,2.84155397
0.19440000,2.90039062,2.90015575,2.90035536
0.19480000,3.46679688,3.46529501,3.46645737
0.19520000,2.94921875,2.95150863,2.94952877
0.19560000,2.44628906,2.44897416,2.44659069
0.19600000,2.92968750,2.92837287,2.92939795
0.19640000,3.74023438,3.73781792,3.73974838
0.19680000,3.79882812,3.79862527,3.79879271
0.19720000,3.79882812,3.79882731,3.79882810
0.19760000,3.79882812,3.79882812,3.79882812
0.19800000,3.79882812,3.79882812,3.79882812
0.19840000,3.79882812,3.79882812,3.79882812
0.19880000,3.79882812,3.79882812,3.79882812
0.19920000,3.69140625,3.69218253,3.69147064
0.19960000,2.60253906,2.60548399,2.60319173
0.20000000,2.27050781,2.27136670,2.27070721
0.20040000,2.26074219,2.26079268,2.26074816
0.20080000,2.52929688,2.52691963,2.52913592
0.20120000,2.49511719,2.49526151,2.49513758
0.20160000,2.79296875,2.79039433,2.79279024
0.20200000,2.54882812,2.54954141,2.54897435
0.20240000,2.51953125,2.51968322,2.51954890
0.20280000,2.75390625,2.75327397,2.75376578
0.20320000,2.98828125,2.98751730,2.98814069
0.20360000,2.92968750,2.93000373,2.92972254
0.20400000,2.25097656,2.25430800,2.25138338
0.20440000,3.07617188,3.06835541,3.07567752
0.20480000,2.55859375,2.56058962,2.55890367
0.20520000,3.31542969,3.31343211,3.31497625
0.20560000,3.35449219,3.35438644,3.35446850
0.20600000,2.66601562,2.66854390,2.66642826
0.20640000,2.34375000,2.34462089,2.34394340
0.20680000,2.41210938,2.41191889,2.41206852
0.20720000,2.01660156,2.01796803,2.01683859
0.20760000,2.42675781,2.42520358,2.42651212
0.20800000,2.98339844,2.98193499,2.98306466
0.20840000,2.52929688,2.53076591,2.52956885
0.20880000,2.48046875,2.48073569,2.48049818
0.20920000,2.88574219,2.88429911,2.88549930
0.20960000,3.00292969,3.00213404,3.00285930
0.21000000,2.40234375,2.40414866,2.40270368
0.21040000,2.37792969,2.37801880,2.37794454
0.21080000,2.74902344,2.74805307,2.74880102
0.21120000,2.59277344,2.59332021,2.59286696
0.21160000,3.07128906,3.07005393,3.07100231
0.21200000,2.72460938,2.72548309,2.72481699
0.21240000,2.63671875,2.63695044,2.63677155
0.21280000,2.50488281,2.50521588,2.50496186
0.21320000,2.76367188,2.76296523,2.76351681
0.21360000,2.53906250,2.53976306,2.53919703
0.21400000,2.53906250,2.53906430,2.53906258
0.21440000,3.32031250,3.31795853,3.31984424
0.21480000,2.88574219,2.88692994,2.88600237
0.21520000,2.92480469,2.92470454,2.92478143
0.21560000,2.29492188,2.29689474,2.29529939
0.21600000,3.11035156,3.10815478,3.10986305
0.21640000,2.76367188,2.76464469,2.76387937
0.21680000,2.76855469,2.76854457,2.76855189
0.21720000,2.61230469,2.61270793,2.61239834
0.21760000,2.42187500,2.42235485,2.42198919
0.21800000,2.25097656,2.25141063,2.25107906
0.21840000,2.21679688,2.21689574,2.21681742
0.21880000,2.25097656,2.25089041,2.25095609
0.21920000,2.34375000,2.34350244,2.34369438
0.21960000,2.56835938,2.56771408,2.56822472
0.22000000,2.88085938,2.87957792,2.88067199
0.22040000,3.13476562,3.13344900,3.13461333
0.22080000,3.15429688,3.15409837,3.15428508
0.22120000,3.15429688,3.15429568,3.15429687
0.22160000,3.14453125,3.14461301,3.14453710
0.22200000,3.13476562,3.13487901,3.13477148
0.22240000,3.13476562,3.13476769,3.13476563
0.22280000,3.12011719,3.12028476,3.12012597
0.22320000,3.11523438,3.11525294,3.11523731
0.22360000,3.11035156,3.11037064,3.11035449
0.22400000,3.09570312,3.09581625,3.09571191
0.22440000,3.09570312,3.09570484,3.09570313
0.22480000,3.08593750,3.08622556,3.08594335
0.22520000,3.07617188,3.07673234,3.07617773
0.22560000,3.07617188,3.07622830,3.07617188
0.22600000,3.06152344,3.06401497,3.06153222
0.22640000,3.05664062,3.05856257,3.05664356
0.22680000,3.05664062,3.05734011,3.05664063
0.22720000,3.03710938,3.04652638,3.03712108
0.22760000,3.03710938,3.04235240,3.03710938
0.22800000,3.03222656,3.03863306,3.03222949
0.22840000,3.01757812,3.03217395,3.01758691
0.22880000,3.01757812,3.02838636,3.01757813
0.22920000,3.00781250,3.02376737,3.00781835
0.22960000,2.99804688,3.01868169,2.99805273
0.23000000,2.99804688,3.01501748,2.99804688
0.23040000,2.98339844,3.00966274,2.98340722
0.23080000,2.97851562,3.00464448,2.97851856
